part,operator,trial,y
1,A,1,11.985
1,A,2,11.984
1,A,3,11.98
1,B,1,11.984
1,B,2,11.986
1,B,3,11.987
1,C,1,11.978
1,C,2,11.982
1,C,3,11.982
2,A,1,11.987
2,A,2,11.988
2,A,3,11.986
2,B,1,11.989
2,B,2,11.993
2,B,3,11.989
2,C,1,11.988
2,C,2,11.99
2,C,3,11.987
3,A,1,11.99
3,A,2,11.992
3,A,3,11.993
3,B,1,11.994
3,B,2,11.987
3,B,3,11.992
3,C,1,11.99
3,C,2,11.987
3,C,3,11.986
4,A,1,11.994
4,A,2,11.991
4,A,3,11.992
4,B,1,11.995
4,B,2,11.997
4,B,3,11.996
4,C,1,11.989
4,C,2,11.99
4,C,3,11.99
5,A,1,12.005
5,A,2,12.004
5,A,3,12.002
5,B,1,11.998
5,B,2,12.003
5,B,3,12.004
5,C,1,11.998
5,C,2,11.998
5,C,3,11.999
6,A,1,12.006
6,A,2,12.004
6,A,3,12.006
6,B,1,12.011
6,B,2,12.008
6,B,3,12.005
6,C,1,12.002
6,C,2,12.003
6,C,3,12.001
7,A,1,12.007
7,A,2,12.005
7,A,3,12.006
7,B,1,12.009
7,B,2,12.007
7,B,3,12.008
7,C,1,12.008
7,C,2,12.008
7,C,3,12.006
8,A,1,12.015
8,A,2,12.01
8,A,3,12.014
8,B,1,12.011
8,B,2,12.015
8,B,3,12.013
8,C,1,12.009
8,C,2,12.01
8,C,3,12.011
9,A,1,12.018
9,A,2,12.017
9,A,3,12.019
9,B,1,12.021
9,B,2,12.021
9,B,3,12.019
9,C,1,12.015
9,C,2,12.017
9,C,3,12.018
10,A,1,12.023
10,A,2,12.022
10,A,3,12.025
10,B,1,12.025
10,B,2,12.025
10,B,3,12.023
10,C,1,12.023
10,C,2,12.022
10,C,3,12.021
