subgroup,x
1,12.018
1,12.014
1,11.993
1,12.002
1,12.005
2,12.002
2,11.994
2,12.01
2,12.002
2,12.007
3,12.005
3,12.006
3,12.018
3,11.995
3,11.993
4,12.006
4,12.008
4,12.006
4,11.998
4,12.005
5,12.007
5,12.01
5,12.006
5,12.01
5,12.004
6,12.006
6,12.007
6,11.996
6,11.999
6,12.009
7,12.006
7,11.994
7,11.993
7,12.0
7,12.006
8,12.002
8,12.006
8,12.008
8,12.012
8,12.007
9,12.013
9,12.004
9,12.0
9,12.0
9,12.003
10,11.999
10,11.991
10,12.011
10,11.999
10,11.997
11,12.003
11,12.011
11,12.011
11,12.009
11,12.006
12,12.004
12,11.999
12,12.014
12,11.997
12,12.01
13,12.026
13,11.998
13,12.003
13,12.012
13,11.997
14,11.994
14,12.006
14,12.008
14,12.013
14,12.003
15,12.008
15,12.014
15,12.007
15,12.006
15,12.001
16,11.991
16,12.008
16,12.006
16,12.001
16,12.005
17,12.0
17,11.997
17,12.007
17,11.996
17,12.012
18,12.005
18,12.021
18,12.011
18,12.017
18,12.0
19,12.006
19,12.009
19,12.004
19,12.011
19,12.013
20,12.02
20,12.013
20,12.016
20,12.014
20,12.013
21,12.016
21,12.005
21,12.021
21,12.009
21,12.009
22,12.017
22,12.012
22,11.999
22,12.0
22,12.019
23,12.01
23,12.001
23,12.008
23,12.02
23,12.013
24,12.013
24,12.015
24,11.999
24,12.009
24,12.002
25,12.021
25,12.011
25,12.011
25,12.005
25,12.014
