i,x
1,8.035
2,8.006
3,7.988
4,8.03
5,8.036
6,8.027
7,7.962
8,7.984
9,8.029
10,8.047
11,7.985
12,8.036
13,8.04
14,8.016
15,7.988
16,8.003
17,8.008
18,8.031
19,8.035
20,7.995
21,8.014
22,8.015
23,8.012
24,8.036
25,8.01
26,8.015
27,7.985
28,8.019
29,7.996
30,8.056
31,8.019
32,8.02
33,8.018
34,7.991
35,8.007
36,8.018
37,8.035
38,8.021
39,7.988
40,8.012
41,8.013
42,7.981
43,8.027
44,8.032
45,7.997
46,8.062
47,8.023
48,8.004
49,8.057
50,8.004
51,8.019
52,7.978
53,7.993
54,8.053
55,7.995
56,7.998
57,8.011
58,7.999
59,7.99
60,7.995
61,8.012
62,8.048
63,8.032
64,8.064
65,7.998
66,8.02
67,8.021
68,8.027
69,8.031
70,7.98
71,8.047
72,8.016
73,8.006
74,8.021
75,8.004
76,7.99
77,8.008
78,7.975
79,7.992
80,8.031
81,8.026
82,7.992
83,7.969
84,8.02
85,8.024
86,8.015
87,7.995
88,8.017
89,8.008
90,8.02
91,8.028
92,8.015
93,8.012
94,8.027
95,8.021
96,7.998
97,8.014
98,8.03
99,8.028
100,8.009
