i,x
1,4.9
2,5.8
3,5.6
4,9.0
5,7.2
6,8.5
7,11.7
8,11.8
9,9.9
10,6.5
11,5.7
12,5.5
13,6.9
14,7.8
15,5.2
16,4.8
17,9.2
18,3.5
19,7.4
20,9.7
21,5.1
22,4.8
23,5.7
24,10.7
25,7.5
26,3.4
27,6.6
28,12.6
29,12.5
30,10.6
31,7.2
32,3.5
33,8.6
34,7.4
35,8.3
36,16.0
37,8.7
38,9.1
39,10.5
40,7.1
41,5.9
42,5.7
43,11.3
44,10.0
45,6.4
46,13.4
47,8.7
48,4.4
49,10.5
50,7.5
51,4.4
52,10.1
53,6.9
54,6.7
55,10.4
56,3.0
57,4.5
58,6.6
59,8.9
60,5.9
61,5.1
62,5.0
63,7.6
64,10.8
65,4.2
66,3.1
67,7.0
68,6.7
69,5.3
70,10.5
71,11.5
72,6.2
73,6.9
74,10.3
75,6.6
76,4.3
77,7.8
78,5.3
79,9.3
80,6.4
81,7.3
82,10.1
83,7.6
84,6.0
85,5.1
86,17.4
87,13.2
88,4.1
89,5.0
90,10.4
91,6.1
92,8.1
93,11.5
94,8.5
95,7.5
96,6.5
97,7.7
98,9.5
99,17.5
100,12.9
101,7.3
102,12.1
103,8.4
104,4.1
105,7.6
106,12.5
107,6.1
108,12.2
109,7.0
110,8.1
111,4.7
112,20.3
113,9.8
114,12.6
115,6.5
116,4.1
117,13.8
118,5.8
119,16.8
120,7.4
121,16.6
122,5.8
123,3.6
124,11.0
125,7.8
126,8.0
127,12.8
128,5.4
129,4.5
130,4.7
131,3.8
132,3.5
133,4.5
134,5.2
135,6.5
136,4.6
137,7.5
138,11.1
139,7.1
140,9.5
141,5.2
142,8.9
143,9.6
144,5.8
145,3.9
146,7.0
147,7.6
148,14.4
149,6.3
150,15.6
151,2.6
152,6.5
153,6.0
154,6.2
155,5.8
156,7.2
157,15.3
158,6.9
159,12.5
160,7.0
161,7.7
162,2.5
163,7.6
164,9.6
165,4.4
166,5.6
167,5.0
168,18.8
169,4.7
170,5.3
171,2.2
172,3.6
173,8.0
174,4.1
175,2.1
176,6.4
177,7.6
178,8.2
179,8.6
180,5.5
181,25.2
182,5.7
183,8.8
184,4.1
185,5.5
186,3.7
187,8.0
188,6.1
189,4.7
190,3.0
191,9.3
192,10.5
193,10.5
194,7.0
195,9.9
196,10.9
197,9.2
198,13.9
199,6.8
200,8.1
