i,x
1,8.004
2,8.009
3,7.994
4,8.01
5,8.002
6,7.998
7,7.998
8,7.997
9,8.001
10,8.006
11,8.005
12,8.005
13,7.994
14,7.995
15,8.009
16,8.006
17,8.012
18,8.007
19,7.997
20,8.008
21,8.005
22,8.003
23,7.998
24,8.002
25,8.001
26,8.006
27,8.003
28,8.009
29,7.999
30,8.004
31,8.004
32,7.998
33,7.997
34,8.007
35,8.004
36,8.001
37,8.004
38,7.999
39,8.003
40,7.999
41,8.003
42,8.006
43,8.0
44,8.006
45,7.997
46,8.001
47,7.996
48,8.002
49,8.002
50,8.001
51,8.001
52,8.008
53,8.008
54,7.997
55,8.007
56,7.994
57,7.999
58,8.001
59,8.002
60,7.997
