drop,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142,e143,e144,e145,e146,e147,e148,e149
1,0.0062,1.4937,-1.3707,-4.453,-2.2734,-4.9582,0.3007,6.7011,-2.461,-3.1024,2.4492,1.7844,0.5271,-4.6523,-0.1463,3.4765,-6.7211,-2.2881,-9.5061,-6.4477,-9.2087,-1.1755,-6.3372,1.3563,0.7838,-0.9347,-12.5838,-2.6935,-0.2425,0.5665,-7.6507,-2.3888,-4.8926,-4.0442,5.3045,-4.0377,-0.1626,4.4219,-2.918,-0.5585,0.5523,0.3189,-6.1253,0.3807,6.7941,-7.7357,4.2969,0.5968,-3.2074,10.0021,3.8113,-5.9964,0.3726,2.8834,-0.9439,3.4146,-0.3326,3.3362,7.1926,-3.3783,1.0157,-2.3165,0.6363,-5.936,-2.8965,-0.981,4.4938,5.7261,-6.6176,-3.9732,3.2345,-9.9621,-2.3158,-0.4864,6.2851,3.447,-1.6361,-1.8429,-1.251,7.6176,-2.1401,-1.5184,1.7629,-0.6039,-0.9864,-5.5703,-0.0576,-2.2179,5.8306,3.2654,-0.1207,3.3419,-1.6993,5.2606,-0.027,2.9169,-6.4545,1.7334,-8.441,-10.1766,-1.5224,-4.4996,0.8203,11.2238,-4.1586,-3.1197,1.027,2.4651,-0.882,-1.0297,3.5123,2.5995,-5.1684,-0.3959,0.1764,-5.2724,1.2992,-4.2898,4.8603,0.9637,0.4465,-2.9551,-0.593,-9.9887,-5.657,1.8142,-10.6428,4.233,-8.7305,3.7837,-4.2275,3.895,0.6548,-7.6842,6.2457,7.2085,-0.329,-1.3696,-0.7993,-4.8758,5.4929,-2.7145,-0.256,-3.9665,-3.1304,-6.3886,6.2853,-0.7704,4.8296,0.0666
2,-3.472,-1.6334,-2.8012,0.0398,-1.8763,-1.4996,-6.8929,-4.0342,8.2703,-3.3562,-5.2705,1.6866,7.0364,-7.2701,-1.0426,-3.1603,-8.8051,3.6746,-0.1172,0.3572,-3.7616,2.2739,-2.6965,-0.7145,-5.5413,-6.0805,6.6777,-2.5355,1.4584,-0.169,-2.2057,-2.5398,3.1504,-1.5093,-0.7572,0.1111,5.8825,3.4026,1.913,-2.8179,-6.9098,4.7476,4.8322,-0.7035,2.7094,3.9072,4.1559,4.6069,-2.2781,7.5749,-6.233,4.3086,2.4697,4.3681,9.395,7.4222,-5.7259,-8.4434,4.0844,-5.0751,-0.062,4.1986,-8.219,-10.5499,1.2965,0.2219,-1.229,0.1927,-4.3026,-7.5675,-0.8333,-4.8585,-8.2174,2.5284,-0.307,2.0326,-4.9465,-3.2903,-4.9952,-4.4332,0.977,-3.9149,1.7803,1.6988,10.1258,-6.9639,4.4395,-0.4474,-0.0701,-7.2493,-2.301,3.716,-0.4124,0.4053,-1.4536,5.7728,-0.1074,-11.0021,-3.4604,-9.844,-16.2572,-2.6506,6.6678,0.2356,-5.8627,-4.7035,5.6531,0.7881,0.24,-0.2673,0.192,4.027,2.7628,1.0785,-5.2143,2.5555,-3.4212,5.4692,-6.3553,-0.6881,-0.0368,-6.6232,8.6099,7.302,-2.3179,3.8586,1.8934,-13.0678,1.252,-0.3067,0.4161,-5.3844,-1.3467,-0.8913,5.9405,1.6721,-0.0278,7.6448,-2.7762,-1.9472,-9.0838,7.8455,4.8217,4.5842,3.3445,0.5507,1.0774,-1.26,-1.018,0.2715
3,7.5591,2.7784,-0.2923,-2.897,-3.175,8.0135,2.5334,0.3378,-1.7309,-5.5453,-0.3343,4.3683,-1.9627,-1.1362,-1.1052,0.548,-7.9651,-1.177,-4.272,4.4229,-3.853,2.8852,7.6222,-1.568,-3.0079,0.9572,-0.0101,-4.9681,2.3046,10.0776,-1.2906,-1.0144,-5.2247,1.5954,-6.2349,-5.5347,6.3983,-4.5273,5.4068,7.6218,1.2966,2.767,9.7613,-0.9836,-2.965,-6.7662,0.2085,7.3957,4.798,-4.7105,-4.2769,-2.5209,1.4613,-1.0266,1.0723,1.4837,-1.4939,-0.2009,1.033,-0.4198,2.5176,9.3544,2.9599,0.2791,-8.4306,1.9398,-9.7334,-7.0452,4.2732,3.5312,-0.7497,-8.5501,-1.8567,-3.3937,3.1842,11.2887,1.0847,-3.8966,-5.8528,-0.2805,-0.884,-5.7576,0.5818,-5.7546,5.5605,5.3133,5.4238,-2.3703,2.5726,-0.6603,-1.9441,-1.6957,-6.4986,-7.2193,3.9716,-0.9562,1.0821,5.0086,-8.6657,-3.9207,0.8767,1.9605,-1.8854,5.1459,1.052,-6.0669,-4.6538,4.0274,2.3192,-9.4953,6.7386,2.9901,6.7167,-1.9185,-1.4785,-5.6323,12.6846,-0.8773,7.9377,-3.2365,0.8192,-8.3568,-1.9143,4.9188,-6.2587,5.3611,1.6862,-5.2198,-2.508,-2.2953,-0.2476,-2.6807,-4.1364,-1.5229,-5.1344,-6.4476,-0.2409,4.4144,-7.6469,0.0175,-3.2498,-4.8857,4.2672,-2.5908,7.4915,-3.8992,1.9325,-1.1364,-3.7701,2.9384
4,-0.7749,3.0161,-0.2365,-5.4291,-0.5103,0.2598,4.7923,-4.5313,-0.1966,-8.6094,3.2575,-5.4074,-9.0318,-0.2961,5.5284,-7.6222,-5.4402,-3.7164,-5.6475,1.8971,-4.0368,-3.6076,2.9165,-3.7776,2.1639,-4.8569,-6.0607,-9.1772,9.306,-1.6013,1.2197,-0.1552,0.7998,0.2484,9.5411,-5.1946,-7.7873,-5.0598,-6.6735,3.7348,4.1019,-4.8066,-6.9522,-1.774,6.9556,-14.0978,2.6331,-5.3788,5.2018,-5.3896,-1.4271,-7.5314,-4.8863,6.9292,4.1029,-2.0083,-4.3509,-9.469,-1.9683,-0.1545,-0.4203,-0.469,-5.609,-0.3314,-0.1934,6.4528,9.3337,-0.6849,-3.8315,-0.3249,-3.0381,-3.7122,-0.2933,-5.2165,3.0305,-0.5196,1.25,-0.9147,-3.6363,-4.7398,-1.1864,-2.7438,1.1695,-0.0222,-6.8115,0.3356,-6.7143,-3.0824,-1.4718,-10.3764,0.4575,0.7549,-0.7901,-2.1216,-1.868,-4.8827,-1.3485,-2.7631,0.4584,-6.0207,1.1779,0.7161,-0.7078,-2.196,2.7617,-8.323,2.3023,1.2152,1.4169,1.9166,-3.2682,-1.2973,3.1853,2.1532,1.0336,-7.5716,2.6894,5.8474,5.0484,1.1694,-7.7884,4.7127,-0.7363,-12.6626,1.886,-7.4609,-6.4822,-3.1748,6.363,-1.8542,1.355,8.7398,7.9701,-0.5168,-1.2076,-6.3044,-3.4723,2.1268,1.9787,0.5512,4.974,-3.8618,-0.2804,3.6562,2.9207,5.3547,1.9851,-1.547,1.811,-5.013
5,-8.1973,2.9034,-0.2757,1.542,-8.4884,-1.8256,-2.9993,-4.3211,-11.2751,-1.6744,4.4865,1.905,-3.0047,-0.0744,3.784,-13.8021,-0.6227,2.716,3.4106,8.5037,5.6752,1.5628,1.5099,3.9347,-2.6966,-0.2009,4.5312,9.7872,-0.7963,-0.242,0.9924,6.716,-0.1516,7.3468,-4.8333,-0.9302,-0.9908,3.9325,5.2263,-7.5472,-4.5756,1.6843,-3.2935,-7.6121,5.1924,2.4699,2.4659,-2.3772,5.1447,-1.1998,5.4822,-4.5583,-4.2707,1.0233,-3.5117,3.3773,1.3004,-4.6149,0.3643,-1.7564,4.5792,-3.1628,-2.1959,6.0562,11.193,9.995,0.3161,1.0943,7.6673,-0.6222,-4.8817,0.5844,2.2576,-4.1457,-8.2312,-7.1836,3.3271,-3.7919,-0.7067,1.0628,3.0957,-1.6745,2.4936,-4.4503,-1.8086,-5.1221,5.6588,-0.1354,-3.6965,-1.7619,-1.1086,3.5026,-7.9782,-5.186,-1.8905,12.6615,4.7784,-0.5573,3.56,10.2872,-1.1687,-1.8321,6.0597,2.4709,3.3567,-2.5411,9.621,8.548,2.8297,3.4214,-10.1363,3.1885,-0.9705,2.1695,3.4123,-1.7065,-8.4524,1.8394,-3.7069,-1.651,-3.0225,-1.7079,-11.5476,6.0847,1.2667,5.557,9.8992,0.113,-9.0122,-4.4694,-6.0345,-2.5094,0.3982,-10.0109,1.7124,-7.5518,1.4868,-0.5475,-1.5682,-0.3652,-2.6989,-3.0624,-8.4138,-0.1481,9.2277,9.9025,6.6091,3.529,-3.3824,7.2138
6,-0.2806,-0.3444,-1.4561,0.4598,-2.1761,-0.4189,-5.423,-1.8683,11.4028,-0.348,-1.1933,2.6619,3.5406,-5.5688,-1.0358,4.5914,1.3492,0.6098,7.7701,-3.3889,0.4137,-2.6003,7.4515,-9.7593,-3.3507,-2.6458,3.3177,3.0314,6.976,-7.8702,3.7524,-1.4664,-3.3281,2.6978,-4.6007,-10.3846,-1.8511,-7.4889,-3.2446,1.8578,1.56,7.9345,-0.9983,-7.6667,-3.7805,-4.5969,-6.0891,2.1768,-3.2262,-9.8869,3.4846,-0.5571,1.7842,0.5286,3.1583,0.1901,6.181,2.1249,1.9603,2.0493,-7.2832,-0.8232,-1.2966,1.0377,-6.7935,8.1706,0.5219,-6.0566,-8.5444,-1.4064,-0.4484,-3.5915,0.4606,-3.2059,2.7583,-3.6227,-0.1925,4.8942,12.8583,-5.0382,-2.3225,-4.1992,3.9216,-5.7405,-2.4218,-0.148,-4.8934,-4.7866,-2.3781,-10.5022,-7.2274,-2.0652,0.7412,-0.9288,-8.8698,-2.3189,3.9922,2.7793,-0.3937,-4.4368,3.1561,-2.8946,-5.8462,-4.0109,7.2417,1.1009,5.7962,-2.3967,4.6907,-3.0075,-0.7871,12.4318,3.8357,-2.5059,-0.4241,1.6311,6.0523,-2.4457,-8.7066,-1.3982,0.0769,0.5477,6.5835,1.5834,4.0646,-5.5056,4.3395,10.4811,3.8645,1.2678,0.7699,8.9357,-4.6359,-0.5555,2.301,3.72,-2.1866,1.5366,-1.3896,0.6024,-0.6605,-5.708,-0.1056,4.3858,-4.8351,-1.2055,3.3239,-5.3493,0.9132,-5.3006
7,5.6732,11.5641,10.1113,-1.0959,3.701,0.605,0.5105,7.7388,-6.5959,5.2765,-0.2449,7.0427,0.9362,-3.3634,1.3857,3.6798,0.1788,2.4402,-2.6084,-10.6694,4.5001,3.4958,0.7409,0.3421,5.1815,-2.2855,-3.5327,-0.9427,5.9455,-6.9356,5.9591,-3.1963,-5.5037,6.3003,-0.4845,-6.5012,-1.7937,4.6553,5.9604,-2.1355,2.0316,3.5704,-3.2231,1.7752,-0.1594,-2.6801,-2.4607,0.3352,0.1493,-2.8274,-2.1297,5.5667,1.0691,4.4255,6.0091,2.9442,11.3544,-4.1265,4.042,-1.5907,9.2789,8.5022,-9.7711,-4.8443,3.3216,3.9493,3.6828,-0.3543,2.2756,3.2651,-0.3894,5.1365,-11.2975,3.169,-5.1703,4.7934,-1.1434,-4.4439,1.8695,-4.5567,-4.5638,-7.8365,-0.1335,2.4841,5.1151,-0.7086,5.2393,0.0898,-0.4664,2.8678,5.292,-1.7072,-1.2188,-0.8042,0.4138,-4.502,5.14,-2.002,2.3122,-4.1274,1.794,1.958,-2.1034,10.1044,1.8552,8.8846,4.7957,-3.3114,-1.9109,2.1805,0.3059,0.2473,-1.431,-9.0424,-1.1272,-11.0906,1.8591,-3.6303,-3.5771,-1.0965,1.3634,-7.16,-8.743,-5.3303,-10.2086,-4.8342,7.9544,-5.2829,3.257,-6.8582,1.4956,-1.5987,-0.2991,2.8439,8.7812,0.9735,0.6218,-4.8668,2.9167,-1.2304,4.16,-0.2185,8.7043,-9.9146,-1.483,4.4074,-1.7535,-3.9609,-1.3294,-6.8996
8,0.5948,12.2023,5.7252,-5.545,-4.3667,-2.0236,5.0221,-4.1074,-3.4512,4.4237,4.3233,-1.8691,-5.5888,-7.7487,-3.495,-11.1526,3.7491,-3.1502,2.4065,9.3416,5.865,-5.7557,4.3462,5.7893,-3.7318,-4.7665,-0.5485,-8.0071,7.3537,-12.0268,-5.534,-1.3478,-1.1354,0.8306,1.3572,-1.0681,5.6844,-10.6969,-0.0008,-3.5729,0.6626,1.1038,-4.5591,-3.2047,3.9629,1.7453,-3.4012,10.1995,11.5459,-7.3123,1.509,12.545,3.9195,1.1053,-1.0403,-2.706,-1.0626,-2.7536,3.7245,-1.9908,-2.2058,-6.0108,-0.2479,-4.4706,-0.9038,5.2091,1.8296,2.5236,1.7805,0.2959,-0.6366,-1.539,3.7956,-5.4212,6.7036,0.1704,-3.7435,-2.4457,-3.385,0.801,-3.5892,5.7107,-3.9082,-11.3626,-3.655,-10.0426,-0.1993,5.2958,3.2388,-6.6879,-3.8113,8.8932,1.5926,0.0206,5.2803,12.2637,6.4829,0.6971,1.7734,3.0854,-3.0635,-5.2936,0.2622,-4.7361,-0.3073,0.4806,11.7052,-4.2552,-0.6089,-0.8215,2.1866,5.2336,-2.4524,-4.1068,-8.2036,-4.631,2.6822,0.2282,-5.0772,-1.8638,0.1574,2.5184,-2.967,-1.2522,-9.0922,-5.7569,8.0886,-10.9407,-1.689,1.096,-1.8717,-4.0408,-0.3054,-0.0248,-0.4106,-9.3886,-0.737,-4.2756,-2.7387,1.1349,3.2036,4.4839,-2.4821,4.62,5.8686,5.6832,6.9488,-0.7284,-0.8707,4.1253
9,-6.8326,1.0471,-2.6528,-1.8439,-8.7076,-4.4527,-0.1025,4.4423,4.9501,-0.4016,-0.9464,-4.1534,2.0118,-1.2379,3.0294,8.7584,-0.1619,-7.4868,-4.3043,-7.2907,-5.9855,6.5264,1.1333,-7.6009,3.2682,6.3019,-1.7994,-3.38,-1.6869,1.423,3.1999,5.9111,6.0624,5.927,6.8096,3.3069,-7.6545,-0.6548,1.5696,-1.9156,4.5563,-1.8011,-4.6287,7.2215,3.33,1.0963,4.6335,5.3127,1.7052,-12.2883,-3.3779,-2.2829,-4.921,0.9934,5.961,-2.4245,-5.6742,10.1402,-2.2572,-6.1648,1.1884,2.1284,-3.5253,3.9523,-2.4366,-4.6148,0.893,3.8538,-3.1693,1.6531,-0.4675,14.1222,-3.5428,6.9209,-0.2617,-0.6338,3.6083,4.47,6.3351,1.6433,-3.002,-2.6882,2.5483,2.9045,6.9903,2.0922,5.3008,7.5839,0.824,-7.4278,-5.8964,-7.189,7.958,-4.237,6.1592,2.9287,8.5763,5.0155,-0.5119,-1.0002,0.4258,0.8763,-2.6537,-0.1631,8.0466,-8.5107,1.2924,-4.5348,0.9352,4.1993,-0.2881,3.8649,-7.9492,5.5349,-3.0156,3.112,0.9122,-12.9278,-3.7803,1.1025,7.7699,1.4363,1.2885,-7.0634,7.1557,9.0354,0.1429,-1.0988,-8.0952,4.4166,13.5114,3.5856,6.3185,2.7104,-4.9251,6.6834,-6.1729,-1.0533,1.3943,4.4145,2.0799,1.9342,-3.8074,-6.4469,0.3074,-3.551,-6.5389,-6.3297,-2.4506,-9.2629
10,-6.7373,-8.1757,0.9113,2.0399,10.0357,-7.4876,-3.398,4.5631,-1.0839,-1.635,8.5458,-1.692,-5.781,-6.5847,1.6785,1.5262,-6.8585,-4.927,2.6736,2.8863,-3.2161,3.1111,2.8593,-8.9154,-1.5603,2.0756,-2.8654,-10.6947,-1.4151,3.7605,7.902,-10.9539,13.0666,-5.6357,4.7849,6.171,4.9151,0.7481,-5.8071,3.1328,-3.5762,-12.6135,14.1445,3.5405,9.0904,-4.5581,7.3375,7.9493,7.7727,-0.106,-6.0123,-0.8866,-11.0138,-8.5101,0.4597,-4.957,-0.8222,-0.545,9.6536,6.4881,-0.2244,6.0445,-3.8986,-1.6845,4.5511,-6.2083,-1.3949,-6.6042,0.5874,8.1626,-3.7605,1.1294,-4.4866,-5.7477,-6.1792,7.2738,11.8122,2.4152,-3.5815,3.5245,-1.6716,4.007,1.455,1.3985,3.0364,-2.8975,-2.0218,-8.6062,-2.2093,-7.1117,-0.7234,-4.7882,0.5062,2.2662,-7.1006,-4.0664,-4.7166,3.7325,8.5318,4.2577,-1.7471,7.325,-7.5705,7.4968,-3.2811,-13.9015,13.254,7.8901,-5.1594,0.845,-1.0725,0.5111,-7.4164,-3.4075,2.3398,1.1135,5.9962,0.3988,11.7461,-3.5787,1.2967,-9.5816,-6.2657,6.6426,-4.714,2.6534,-0.3089,-5.2227,-1.7412,-2.5712,-2.4368,3.768,3.2617,-2.8871,-4.5355,1.4117,-0.5001,5.1414,13.2765,4.2146,-0.1737,-0.8602,-4.2835,-4.5334,-5.0171,-1.9767,-2.1357,3.7187,-1.995,-0.9872
