i,e
1,0.006
2,1.494
3,-1.371
4,-4.453
5,-2.273
6,-4.958
7,0.301
8,6.701
9,-2.461
10,-3.102
11,2.449
12,1.784
13,0.527
14,-4.652
15,-0.146
16,3.477
17,-6.721
18,-2.288
19,-9.506
20,-6.448
21,-9.209
22,-1.175
23,-6.337
24,1.356
25,0.784
26,-0.935
27,-12.584
28,-2.693
29,-0.243
30,0.567
31,-7.651
32,-2.389
33,-4.893
34,-4.044
35,5.304
36,-4.038
37,-0.163
38,4.422
39,-2.918
40,-0.559
41,0.552
42,0.319
43,-6.125
44,0.381
45,6.794
46,-7.736
47,4.297
48,0.597
49,-3.207
50,10.002
51,3.811
52,-5.996
53,0.373
54,2.883
55,-0.944
56,3.415
57,-0.333
58,3.336
59,7.193
60,-3.378
61,1.016
62,-2.317
63,0.636
64,-5.936
65,-2.897
66,-0.981
67,4.494
68,5.726
69,-6.618
70,-3.973
71,3.235
72,-9.962
73,-2.316
74,-0.486
75,6.285
76,3.447
77,-1.636
78,-1.843
79,-1.251
80,7.618
81,-2.14
82,-1.518
83,1.763
84,-0.604
85,-0.986
86,-5.57
87,-0.058
88,-2.218
89,5.831
90,3.265
91,-0.121
92,3.342
93,-1.699
94,5.261
95,-0.027
96,2.917
97,-6.454
98,1.733
99,-8.441
100,-10.177
