part,appraiser,trial,rating
1,A,1,0
1,A,2,0
1,B,1,0
1,B,2,0
1,C,1,0
1,C,2,0
2,A,1,0
2,A,2,0
2,B,1,0
2,B,2,0
2,C,1,0
2,C,2,0
3,A,1,0
3,A,2,1
3,B,1,0
3,B,2,0
3,C,1,0
3,C,2,0
4,A,1,0
4,A,2,0
4,B,1,1
4,B,2,0
4,C,1,0
4,C,2,0
5,A,1,1
5,A,2,1
5,B,1,1
5,B,2,1
5,C,1,1
5,C,2,1
6,A,1,0
6,A,2,0
6,B,1,0
6,B,2,0
6,C,1,0
6,C,2,0
7,A,1,1
7,A,2,1
7,B,1,1
7,B,2,1
7,C,1,1
7,C,2,1
8,A,1,1
8,A,2,0
8,B,1,0
8,B,2,0
8,C,1,0
8,C,2,1
9,A,1,1
9,A,2,1
9,B,1,1
9,B,2,1
9,C,1,1
9,C,2,1
10,A,1,0
10,A,2,0
10,B,1,0
10,B,2,0
10,C,1,0
10,C,2,0
11,A,1,0
11,A,2,0
11,B,1,0
11,B,2,0
11,C,1,0
11,C,2,0
12,A,1,1
12,A,2,1
12,B,1,1
12,B,2,1
12,C,1,1
12,C,2,1
13,A,1,0
13,A,2,0
13,B,1,0
13,B,2,0
13,C,1,0
13,C,2,0
14,A,1,0
14,A,2,0
14,B,1,0
14,B,2,1
14,C,1,1
14,C,2,0
15,A,1,0
15,A,2,0
15,B,1,0
15,B,2,0
15,C,1,0
15,C,2,0
16,A,1,1
16,A,2,0
16,B,1,0
16,B,2,1
16,C,1,0
16,C,2,1
17,A,1,1
17,A,2,1
17,B,1,1
17,B,2,1
17,C,1,1
17,C,2,1
18,A,1,0
18,A,2,0
18,B,1,0
18,B,2,0
18,C,1,0
18,C,2,0
19,A,1,1
19,A,2,1
19,B,1,1
19,B,2,1
19,C,1,1
19,C,2,1
20,A,1,0
20,A,2,0
20,B,1,0
20,B,2,0
20,C,1,0
20,C,2,0
21,A,1,0
21,A,2,1
21,B,1,0
21,B,2,0
21,C,1,0
21,C,2,0
22,A,1,1
22,A,2,1
22,B,1,1
22,B,2,1
22,C,1,1
22,C,2,0
23,A,1,0
23,A,2,0
23,B,1,0
23,B,2,0
23,C,1,0
23,C,2,0
24,A,1,1
24,A,2,0
24,B,1,0
24,B,2,0
24,C,1,0
24,C,2,0
25,A,1,1
25,A,2,0
25,B,1,1
25,B,2,1
25,C,1,1
25,C,2,0
26,A,1,1
26,A,2,1
26,B,1,1
26,B,2,1
26,C,1,1
26,C,2,1
27,A,1,0
27,A,2,1
27,B,1,0
27,B,2,0
27,C,1,1
27,C,2,0
28,A,1,0
28,A,2,0
28,B,1,0
28,B,2,0
28,C,1,0
28,C,2,1
29,A,1,1
29,A,2,1
29,B,1,0
29,B,2,1
29,C,1,0
29,C,2,0
30,A,1,0
30,A,2,0
30,B,1,1
30,B,2,0
30,C,1,0
30,C,2,0
