part,appraiser,trial,rating
1,A,1,0
1,A,2,0
1,B,1,0
1,B,2,0
2,A,1,1
2,A,2,1
2,B,1,1
2,B,2,1
3,A,1,0
3,A,2,0
3,B,1,0
3,B,2,0
4,A,1,0
4,A,2,0
4,B,1,0
4,B,2,0
5,A,1,0
5,A,2,0
5,B,1,0
5,B,2,0
6,A,1,1
6,A,2,0
6,B,1,1
6,B,2,1
7,A,1,1
7,A,2,1
7,B,1,1
7,B,2,1
8,A,1,0
8,A,2,0
8,B,1,0
8,B,2,0
9,A,1,0
9,A,2,0
9,B,1,1
9,B,2,0
10,A,1,0
10,A,2,0
10,B,1,1
10,B,2,0
11,A,1,0
11,A,2,0
11,B,1,0
11,B,2,0
12,A,1,1
12,A,2,1
12,B,1,1
12,B,2,1
13,A,1,0
13,A,2,0
13,B,1,0
13,B,2,0
14,A,1,0
14,A,2,0
14,B,1,0
14,B,2,0
15,A,1,0
15,A,2,0
15,B,1,0
15,B,2,0
16,A,1,1
16,A,2,0
16,B,1,1
16,B,2,1
17,A,1,0
17,A,2,0
17,B,1,0
17,B,2,0
18,A,1,0
18,A,2,0
18,B,1,1
18,B,2,0
19,A,1,0
19,A,2,0
19,B,1,0
19,B,2,0
20,A,1,1
20,A,2,1
20,B,1,0
20,B,2,1
