part,operator,trial,y
1,A,1,11.987
1,A,2,11.985
1,A,3,11.983
1,B,1,11.987
1,B,2,11.986
1,B,3,11.985
1,C,1,11.979
1,C,2,11.985
1,C,3,11.982
2,A,1,11.986
2,A,2,11.983
2,A,3,11.987
2,B,1,11.99
2,B,2,11.991
2,B,3,11.989
2,C,1,11.987
2,C,2,11.985
2,C,3,11.982
3,A,1,11.994
3,A,2,11.991
3,A,3,11.992
3,B,1,11.992
3,B,2,11.995
3,B,3,11.996
3,C,1,11.991
3,C,2,11.992
3,C,3,11.989
4,A,1,11.999
4,A,2,11.996
4,A,3,11.997
4,B,1,11.995
4,B,2,11.998
4,B,3,11.999
4,C,1,11.995
4,C,2,11.989
4,C,3,11.994
5,A,1,12.004
5,A,2,11.999
5,A,3,12.0
5,B,1,12.002
5,B,2,12.004
5,B,3,12.001
5,C,1,11.998
5,C,2,12.001
5,C,3,11.994
6,A,1,11.997
6,A,2,11.997
6,A,3,12.0
6,B,1,12.0
6,B,2,11.999
6,B,3,11.996
6,C,1,11.996
6,C,2,11.997
6,C,3,11.995
7,A,1,12.004
7,A,2,12.007
7,A,3,12.007
7,B,1,12.005
7,B,2,12.005
7,B,3,12.004
7,C,1,12.002
7,C,2,12.0
7,C,3,12.003
8,A,1,12.009
8,A,2,12.008
8,A,3,12.008
8,B,1,12.011
8,B,2,12.011
8,B,3,12.009
8,C,1,12.01
8,C,2,12.011
8,C,3,12.008
9,A,1,12.009
9,A,2,12.011
9,A,3,12.01
9,B,1,12.011
9,B,2,12.009
9,B,3,12.014
9,C,1,12.012
9,C,2,12.01
9,C,3,12.008
10,A,1,12.013
10,A,2,12.016
10,A,3,12.012
10,B,1,12.014
10,B,2,12.014
10,B,3,12.016
10,C,1,12.013
10,C,2,12.013
10,C,3,12.016
