part,operator,trial,y
1,A,1,248.6
1,A,2,248.6
1,A,3,248.6
1,B,1,248.7
1,B,2,248.7
1,B,3,248.6
1,C,1,248.6
1,C,2,248.6
1,C,3,248.7
2,A,1,249.2
2,A,2,249.4
2,A,3,249.4
2,B,1,248.9
2,B,2,249.0
2,B,3,249.2
2,C,1,249.2
2,C,2,249.3
2,C,3,249.3
3,A,1,250.0
3,A,2,249.6
3,A,3,249.7
3,B,1,250.0
3,B,2,249.8
3,B,3,249.8
3,C,1,249.7
3,C,2,249.5
3,C,3,249.8
4,A,1,250.0
4,A,2,249.9
4,A,3,249.9
4,B,1,250.0
4,B,2,249.9
4,B,3,250.0
4,C,1,250.0
4,C,2,250.0
4,C,3,250.0
5,A,1,250.9
5,A,2,251.0
5,A,3,250.9
5,B,1,250.8
5,B,2,251.0
5,B,3,250.8
5,C,1,251.0
5,C,2,250.8
5,C,3,251.0
6,A,1,251.3
6,A,2,251.2
6,A,3,251.3
6,B,1,251.3
6,B,2,251.4
6,B,3,251.2
6,C,1,251.2
6,C,2,251.4
6,C,3,251.3
7,A,1,251.7
7,A,2,251.8
7,A,3,251.5
7,B,1,251.8
7,B,2,251.9
7,B,3,251.7
7,C,1,251.6
7,C,2,251.8
7,C,3,251.8
8,A,1,252.5
8,A,2,252.4
8,A,3,252.2
8,B,1,252.4
8,B,2,252.4
8,B,3,252.5
8,C,1,252.5
8,C,2,252.3
8,C,3,252.3
9,A,1,253.0
9,A,2,253.0
9,A,3,252.8
9,B,1,252.9
9,B,2,253.0
9,B,3,253.0
9,C,1,253.1
9,C,2,253.0
9,C,3,252.9
10,A,1,253.4
10,A,2,253.6
10,A,3,253.2
10,B,1,253.4
10,B,2,253.4
10,B,3,253.3
10,C,1,253.5
10,C,2,253.4
10,C,3,253.6
