i,x
1,6.5
2,6.51
3,6.5
4,6.49
5,6.51
6,6.5
7,6.5
8,6.5
9,6.5
10,6.5
11,6.5
12,6.5
13,6.49
14,6.5
15,6.5
16,6.5
17,6.5
18,6.5
19,6.49
20,6.5
21,6.5
22,6.5
23,6.51
24,6.51
25,6.48
26,6.48
27,6.5
28,6.5
29,6.5
30,6.5
31,6.52
32,6.49
33,6.5
34,6.52
35,6.51
36,6.51
37,6.5
38,6.49
39,6.5
40,6.5
41,6.49
42,6.49
43,6.5
44,6.49
45,6.5
46,6.5
47,6.5
48,6.5
49,6.5
50,6.51
51,6.5
52,6.49
53,6.51
54,6.5
55,6.51
56,6.49
57,6.51
58,6.5
59,6.49
60,6.5
61,6.5
62,6.5
63,6.49
64,6.49
65,6.5
66,6.5
67,6.5
68,6.51
69,6.49
70,6.5
71,6.51
72,6.5
73,6.49
74,6.51
75,6.5
76,6.51
77,6.5
78,6.49
79,6.5
80,6.5
