i,x
1,6.503
2,6.507
3,6.503
4,6.49
5,6.507
6,6.504
7,6.496
8,6.505
9,6.503
10,6.502
11,6.5
12,6.504
13,6.494
14,6.499
15,6.496
16,6.505
17,6.5
18,6.498
19,6.494
20,6.498
21,6.5
22,6.498
23,6.51
24,6.508
25,6.478
26,6.485
27,6.499
28,6.497
29,6.502
30,6.502
31,6.517
32,6.491
33,6.497
34,6.516
35,6.505
36,6.505
37,6.496
38,6.487
39,6.501
40,6.501
41,6.49
42,6.495
43,6.499
44,6.492
45,6.499
46,6.501
47,6.5
48,6.496
49,6.505
50,6.507
51,6.503
52,6.493
53,6.506
54,6.496
55,6.507
56,6.491
57,6.507
58,6.5
59,6.49
60,6.497
61,6.5
62,6.502
63,6.492
64,6.491
65,6.502
66,6.496
67,6.502
68,6.506
69,6.487
70,6.502
71,6.51
72,6.498
73,6.494
74,6.506
75,6.502
76,6.507
77,6.497
78,6.488
79,6.499
80,6.496
