subgroup,x
1,8.002
1,8.014
1,8.002
1,8.003
1,8.005
2,8.012
2,7.997
2,8.013
2,8.002
2,8.011
3,8.0
3,8.013
3,7.996
3,8.009
3,7.998
4,8.013
4,8.0
4,8.009
4,7.996
4,8.009
5,8.0
5,8.009
5,8.006
5,8.015
5,7.986
6,8.001
6,7.999
6,8.008
6,8.001
6,8.011
7,8.011
7,8.004
7,7.998
7,8.02
7,8.003
8,8.013
8,7.997
8,8.002
8,8.001
8,8.011
9,7.994
9,8.007
9,8.0
9,8.005
9,8.0
10,8.01
10,8.0
10,8.007
10,8.003
10,8.014
11,8.002
11,8.006
11,8.004
11,8.007
11,8.004
12,8.005
12,8.005
12,8.01
12,7.994
12,8.008
13,8.0
13,8.011
13,7.995
13,8.004
13,8.001
14,8.008
14,8.001
14,8.014
14,7.992
14,8.011
15,8.006
15,8.009
15,7.996
15,8.014
15,8.001
16,8.014
16,7.998
16,8.003
16,7.999
16,8.008
17,8.004
17,8.011
17,7.992
17,8.004
17,8.004
18,8.013
18,7.997
18,8.01
18,8.002
18,8.012
19,8.004
19,8.011
19,8.0
19,8.009
19,8.005
20,7.999
20,7.999
20,8.01
20,7.993
20,8.012
