subgroup,x
1,8.002
1,8.002
1,8.005
1,7.997
1,8.002
2,8.0
2,7.996
2,7.998
2,8.0
2,7.996
3,8.0
3,8.006
3,7.986
3,7.999
3,8.001
4,8.011
4,7.998
4,8.003
4,7.997
4,8.001
5,7.994
5,8.0
5,8.0
5,8.0
5,8.003
6,8.002
6,8.004
6,8.004
6,8.005
6,7.994
7,8.0
7,7.995
7,8.001
7,8.001
7,7.992
8,8.006
8,7.996
8,8.001
8,7.998
8,7.999
9,8.004
9,7.992
9,8.004
9,7.997
9,8.002
10,8.004
10,8.0
10,8.005
10,7.999
10,7.993
11,8.014
11,8.003
11,8.012
11,8.013
11,8.011
12,8.013
12,8.009
12,8.013
12,8.009
12,8.009
13,8.009
13,8.015
13,8.001
13,8.008
13,8.011
14,8.004
14,8.02
14,8.013
14,8.002
14,8.011
15,8.007
15,8.005
15,8.01
15,8.007
15,8.014
16,8.006
16,8.007
16,8.005
16,8.01
16,8.008
17,8.011
17,8.004
17,8.008
17,8.014
17,8.011
18,8.009
18,8.014
18,8.014
18,8.003
18,8.008
19,8.011
19,8.004
19,8.013
19,8.01
19,8.012
20,8.011
20,8.009
20,7.999
20,8.01
20,8.012
