subgroup,x
1,11.982
1,12.007
1,12.009
1,12.008
1,11.997
2,12.002
2,12.012
2,12.009
2,12.004
2,12.008
3,12.008
3,11.999
3,12.005
3,12.003
3,11.996
4,12.001
4,11.994
4,12.002
4,11.995
4,12.005
5,12.007
5,11.998
5,11.993
5,12.018
5,12.005
6,12.006
6,12.0
6,12.007
6,12.0
6,12.007
7,12.012
7,12.025
7,12.009
7,12.009
7,12.001
8,12.003
8,11.996
8,12.0
8,12.0
8,11.995
9,11.996
9,12.009
9,12.014
9,12.015
9,12.005
10,12.017
10,12.015
10,12.003
10,12.002
10,12.002
11,12.001
11,12.008
11,12.006
11,11.996
11,12.006
12,11.992
12,12.004
12,12.006
12,12.011
12,11.997
13,12.009
13,12.007
13,12.003
13,12.004
13,12.009
14,11.997
14,12.001
14,12.004
14,12.01
14,12.007
15,12.002
15,12.013
15,12.001
15,11.999
15,12.001
16,12.004
16,12.001
16,12.001
16,12.007
16,12.007
17,11.998
17,12.004
17,12.012
17,12.0
17,12.015
18,12.01
18,11.998
18,12.013
18,12.005
18,12.007
19,12.015
19,12.004
19,12.009
19,12.007
19,11.996
20,11.993
20,12.001
20,12.003
20,12.005
20,12.008
21,11.997
21,12.015
21,12.006
21,12.001
21,11.995
22,11.996
22,12.012
22,12.007
22,11.994
22,12.002
23,11.996
23,12.004
23,11.994
23,12.008
23,12.018
24,12.002
24,12.001
24,12.002
24,12.001
24,12.007
25,11.991
25,11.989
25,12.011
25,12.011
25,11.996
