subgroup,x
1,6.014
1,6.014
1,6.017
1,6.021
2,6.017
2,6.019
2,6.018
2,6.018
3,6.016
3,6.017
3,6.009
3,6.015
4,6.019
4,6.023
4,6.021
4,6.016
5,6.018
5,6.022
5,6.017
5,6.015
6,6.012
6,6.012
6,6.015
6,6.022
7,6.02
7,6.015
7,6.024
7,6.02
8,6.01
8,6.014
8,6.02
8,6.025
9,6.019
9,6.018
9,6.016
9,6.015
10,6.015
10,6.017
10,6.016
10,6.018
11,6.017
11,6.023
11,6.018
11,6.022
12,6.017
12,6.015
12,6.015
12,6.012
13,6.027
13,6.024
13,6.019
13,6.016
14,6.018
14,6.02
14,6.023
14,6.013
15,6.014
15,6.013
15,6.016
15,6.021
16,6.008
16,6.017
16,6.005
16,6.014
17,6.017
17,6.014
17,6.015
17,6.03
18,6.022
18,6.023
18,6.012
18,6.014
19,6.015
19,6.008
19,6.018
19,6.026
20,6.015
20,6.019
20,6.009
20,6.022
