subgroup,x
1,2.52
1,2.47
1,2.54
2,2.51
2,2.48
2,2.56
3,2.44
3,2.5
3,2.54
4,2.52
4,2.49
4,2.49
5,2.43
5,2.54
5,2.49
6,2.48
6,2.47
6,2.5
7,2.53
7,2.49
7,2.52
8,2.54
8,2.47
8,2.43
9,2.54
9,2.56
9,2.52
10,2.52
10,2.55
10,2.51
11,2.51
11,2.51
11,2.45
12,2.46
12,2.51
12,2.51
13,2.52
13,2.43
13,2.54
14,2.54
14,2.52
14,2.51
15,2.51
15,2.47
15,2.52
16,2.56
16,2.5
16,2.48
17,2.53
17,2.49
17,2.51
18,2.5
18,2.5
18,2.5
19,2.51
19,2.51
19,2.5
20,2.52
20,2.53
20,2.47
21,2.56
21,2.57
21,2.57
22,2.64
22,2.58
22,2.59
23,2.59
23,2.6
23,2.58
24,2.59
24,2.56
24,2.55
25,2.54
25,2.55
25,2.59
26,2.59
26,2.56
26,2.6
27,2.58
27,2.56
27,2.54
28,2.53
28,2.55
28,2.55
29,2.59
29,2.58
29,2.53
30,2.56
30,2.54
30,2.6
