i,x
1,251.7
2,251.4
3,252.1
4,251.0
5,253.1
6,252.4
7,252.7
8,251.7
9,253.9
10,251.6
11,251.4
12,252.6
13,250.6
14,251.2
15,252.5
16,251.1
17,250.0
18,251.8
19,252.7
20,251.8
21,252.8
22,251.4
23,250.5
24,251.4
25,251.9
26,251.6
27,251.7
28,252.0
29,252.6
30,251.1
31,251.8
32,251.5
33,251.9
34,252.1
35,252.4
36,251.2
37,251.1
38,251.4
39,252.0
40,251.6
41,251.5
42,253.4
43,250.7
44,253.0
45,251.9
46,251.7
47,252.0
48,253.8
49,250.7
50,251.7
51,251.6
52,252.2
53,249.9
54,252.8
55,251.0
56,253.5
57,251.6
58,251.7
59,251.0
60,251.7
61,253.0
62,252.4
63,251.9
64,251.0
65,250.4
66,252.7
67,254.1
68,252.3
69,253.2
70,251.7
71,252.4
72,251.0
73,252.7
74,250.3
75,251.6
76,252.5
77,252.2
78,251.8
79,253.4
80,251.2
81,252.5
82,252.7
83,253.1
84,254.1
85,252.7
86,252.0
87,251.6
88,251.6
89,252.6
90,251.6
91,252.1
92,252.1
93,253.0
94,251.9
95,251.1
96,252.4
97,250.6
98,251.8
99,252.0
100,253.1
