subgroup,x
1,19.997
1,19.994
1,19.994
1,19.986
1,20.003
2,20.001
2,19.995
2,20.0
2,19.998
2,19.994
3,20.001
3,19.996
3,19.996
3,19.994
3,19.999
4,19.997
4,20.0
4,19.995
4,19.998
4,19.994
5,20.002
5,19.999
5,20.0
5,20.0
5,19.994
6,20.002
6,20.007
6,19.992
6,19.992
6,19.993
7,20.003
7,20.0
7,20.004
7,20.002
7,20.0
8,20.001
8,19.999
8,20.004
8,19.996
8,19.998
9,20.002
9,20.008
9,19.998
9,19.996
9,19.998
10,20.005
10,20.0
10,20.007
10,19.994
10,20.006
11,20.006
11,19.996
11,20.002
11,20.007
11,20.002
12,20.006
12,20.012
12,20.004
12,20.001
12,19.999
13,20.006
13,20.002
13,20.002
13,20.003
13,20.006
14,19.999
14,19.997
14,19.994
14,20.008
14,20.004
15,20.01
15,20.004
15,20.001
15,20.006
15,20.004
16,20.0
16,20.001
16,20.012
16,20.006
16,20.006
17,20.004
17,20.003
17,20.009
17,20.005
17,20.002
18,20.005
18,20.002
18,20.007
18,20.01
18,20.003
19,20.012
19,20.004
19,20.007
19,20.003
19,20.006
20,20.007
20,20.005
20,20.004
20,20.004
20,20.004
21,20.001
21,20.007
21,20.009
21,20.011
21,20.01
22,20.018
22,20.01
22,20.006
22,20.016
22,20.004
23,20.013
23,20.005
23,20.01
23,20.001
23,20.012
24,20.009
24,20.006
24,20.016
24,20.012
24,20.01
25,20.007
25,20.01
25,20.009
25,20.013
25,20.013
