i,x
1,0.007
2,0.007
3,0.013
4,0.014
5,0.01
6,0.007
7,0.007
8,0.005
9,0.005
10,0.004
11,0.007
12,0.005
13,0.006
14,0.002
15,0.009
16,0.019
17,0.001
18,0.002
19,0.013
20,0.003
21,0.005
22,0.007
23,0.01
24,0.01
25,0.024
26,0.015
27,0.007
28,0.013
29,0.014
30,0.002
31,0.018
32,0.009
33,0.003
34,0.018
35,0.005
36,0.005
37,0.007
38,0.014
39,0.008
40,0.005
41,0.016
42,0.013
43,0.02
44,0.009
45,0.02
46,0.008
47,0.01
48,0.006
49,0.008
50,0.008
51,0.004
52,0.008
53,0.007
54,0.005
55,0.007
56,0.011
57,0.008
58,0.008
59,0.01
60,0.009
61,0.009
62,0.012
63,0.008
64,0.009
65,0.004
66,0.005
67,0.003
68,0.007
69,0.013
70,0.009
71,0.012
72,0.005
73,0.011
74,0.009
75,0.004
76,0.015
77,0.01
78,0.012
79,0.017
80,0.004
