time,part,x
1,P1,1.169
1,P1,1.173
1,P1,1.165
1,P2,1.178
1,P2,1.185
1,P2,1.185
1,P3,1.194
1,P3,1.191
1,P3,1.194
1,P4,1.189
1,P4,1.194
1,P4,1.191
2,P1,1.216
2,P1,1.219
2,P1,1.218
2,P2,1.214
2,P2,1.212
2,P2,1.212
2,P3,1.222
2,P3,1.214
2,P3,1.228
2,P4,1.208
2,P4,1.217
2,P4,1.223
3,P1,1.226
3,P1,1.217
3,P1,1.21
3,P2,1.208
3,P2,1.2
3,P2,1.197
3,P3,1.203
3,P3,1.203
3,P3,1.206
3,P4,1.213
3,P4,1.216
3,P4,1.212
4,P1,1.213
4,P1,1.226
4,P1,1.218
4,P2,1.239
4,P2,1.232
4,P2,1.228
4,P3,1.222
4,P3,1.229
4,P3,1.224
4,P4,1.234
4,P4,1.234
4,P4,1.234
5,P1,1.245
5,P1,1.237
5,P1,1.241
5,P2,1.249
5,P2,1.252
5,P2,1.256
5,P3,1.239
5,P3,1.233
5,P3,1.251
5,P4,1.246
5,P4,1.239
5,P4,1.248
