group,x
worn,0.104
worn,0.125
worn,0.121
worn,0.128
worn,0.103
worn,0.136
worn,0.122
worn,0.105
worn,0.103
worn,0.103
worn,0.111
worn,0.137
worn,0.133
worn,0.114
worn,0.114
worn,0.147
worn,0.133
worn,0.11
worn,0.119
worn,0.115
repinned,0.106
repinned,0.115
repinned,0.101
repinned,0.109
repinned,0.111
repinned,0.114
repinned,0.096
repinned,0.101
repinned,0.129
repinned,0.102
repinned,0.104
repinned,0.11
repinned,0.097
repinned,0.099
repinned,0.125
repinned,0.12
repinned,0.09
repinned,0.105
repinned,0.088
repinned,0.085
