temp,flux,gap,y
598.4,12.66,0.056,1.2469
608.5,11.24,0.133,1.2768
595.5,10.77,0.064,1.232
591.2,13.73,0.122,1.1548
596.2,10.21,0.094,1.1649
604.4,11.88,0.1,1.2173
605.6,11.26,0.101,1.2633
600.8,8.67,0.067,1.2537
596.2,9.01,0.056,1.2166
608.3,12.9,0.114,1.2513
608.6,11.14,0.06,1.3406
598.7,12.07,0.057,1.2416
598.2,10.72,0.055,1.1928
602.3,13.1,0.11,1.2373
604.3,13.11,0.145,1.1518
602.4,10.58,0.104,1.2116
598.7,8.77,0.052,1.241
598.8,12.99,0.108,1.2256
602.9,10.99,0.098,1.2803
608.4,11.34,0.119,1.2618
591.0,11.05,0.062,1.1544
591.8,8.22,0.117,1.0924
605.2,11.08,0.143,1.2045
599.2,8.58,0.072,1.1866
