subgroup,x
1,30.007
1,30.016
1,30.007
1,29.974
2,30.018
2,30.009
2,29.989
2,30.012
3,30.007
3,30.006
3,30.001
3,30.011
4,29.985
4,29.997
4,29.99
4,30.012
5,30.001
5,29.994
5,29.984
5,29.995
6,30.0
6,29.994
6,30.026
6,30.02
7,29.946
7,29.962
7,29.997
7,29.992
8,30.004
8,30.004
8,30.042
8,29.978
9,29.992
9,30.041
9,30.013
9,30.013
10,29.99
10,29.967
10,30.003
10,30.002
11,29.975
11,29.986
11,29.999
11,29.981
12,29.998
12,30.002
12,30.001
12,29.99
13,30.012
13,30.018
13,30.006
13,29.984
14,30.015
14,29.99
14,30.018
14,29.979
15,30.018
15,30.0
15,29.975
15,29.994
16,30.001
16,30.005
16,29.98
16,29.978
17,30.004
17,29.991
17,30.005
17,30.015
18,29.967
18,30.005
18,30.024
18,29.994
19,29.984
19,30.015
19,30.005
19,30.018
20,29.993
20,29.97
20,29.998
20,29.991
