subgroup,x
1,5.02
1,5.05
1,5.02
1,4.92
1,5.05
1,5.03
1,4.97
1,5.03
1,5.02
1,5.02
2,5.0
2,5.03
2,4.96
2,4.99
2,4.97
2,5.04
2,5.0
2,4.98
2,4.95
2,4.98
3,5.0
3,4.98
3,5.08
3,5.06
3,4.84
3,4.89
3,4.99
3,4.97
3,5.01
3,5.01
4,5.13
4,4.93
4,4.98
4,5.12
4,5.04
4,5.04
4,4.97
4,4.9
4,5.01
4,5.01
5,4.93
5,4.96
5,5.0
5,4.94
5,4.99
5,5.01
5,5.0
5,4.97
5,5.04
5,5.05
6,5.02
6,4.95
6,5.04
6,4.97
6,5.05
6,4.94
6,5.05
6,5.0
6,4.93
6,4.98
7,5.0
7,5.02
7,4.94
7,4.93
7,5.01
7,4.97
7,5.01
7,5.05
7,4.9
7,5.02
8,5.07
8,4.98
8,4.95
8,5.05
8,5.02
8,5.05
8,4.98
8,4.91
8,4.99
8,4.97
9,5.05
9,5.01
9,4.9
9,4.93
9,5.05
9,5.04
9,4.96
9,5.0
9,5.03
9,5.03
10,5.05
10,5.02
10,4.99
10,4.98
10,5.06
10,4.86
10,4.99
10,5.0
10,4.91
10,5.02
11,4.96
11,5.05
11,4.99
11,5.04
11,5.07
11,5.02
11,4.95
11,4.91
11,5.11
11,4.99
12,4.96
12,5.01
12,4.99
12,5.05
12,5.0
12,5.0
12,4.96
12,5.03
12,4.94
12,5.04
13,5.09
13,4.91
13,4.85
13,5.04
13,5.15
13,4.94
13,4.92
13,5.04
13,4.95
13,4.97
14,4.98
14,5.03
14,4.98
14,5.02
14,4.99
14,4.95
14,4.98
14,4.94
14,5.0
14,4.93
15,4.93
15,5.09
15,5.0
15,5.0
15,5.03
15,4.97
15,4.99
15,5.03
15,5.02
15,4.93
16,5.05
16,4.96
16,4.94
16,4.95
16,4.98
16,5.1
16,4.93
16,5.01
16,4.87
16,5.0
17,5.05
17,4.99
17,4.96
17,5.01
17,5.04
17,5.04
17,5.12
17,5.01
17,4.96
17,4.99
18,5.0
18,5.01
18,5.0
18,5.01
18,4.9
18,5.05
18,4.97
18,4.93
18,5.04
18,5.08
19,5.03
19,5.01
19,4.94
19,5.17
19,5.05
19,4.93
19,4.95
19,5.01
19,4.91
19,5.01
20,4.97
20,5.07
20,5.06
20,4.84
20,5.0
20,4.9
20,5.07
20,5.01
20,5.03
20,4.94
