i,part,nominal,x
1,P32,32.0,32.008
2,P25,25.0,25.001
3,P32,32.0,31.999
4,P20,20.0,19.992
5,P32,32.0,32.02
6,P20,20.0,19.998
7,P20,20.0,20.01
8,P25,25.0,25.008
9,P32,32.0,31.993
10,P20,20.0,20.004
11,P25,25.0,24.988
12,P25,25.0,24.999
13,P32,32.0,31.989
14,P25,25.0,24.982
15,P32,32.0,31.989
16,P20,20.0,20.007
17,P25,25.0,25.002
18,P20,20.0,19.974
19,P32,32.0,32.003
20,P32,32.0,32.005
21,P20,20.0,19.998
22,P25,25.0,24.992
23,P32,32.0,32.017
24,P32,32.0,31.994
25,P25,25.0,25.015
26,P20,20.0,19.997
27,P25,25.0,25.005
28,P20,20.0,20.005
29,P32,32.0,32.005
30,P32,32.0,32.02
