i,x
2,1.5892
3,1.7579
4,1.7228
5,2.1972
6,1.9741
7,2.1401
8,2.4596
9,2.4681
10,2.2925
11,1.8718
12,1.7405
13,1.7047
14,1.9315
15,2.0541
16,1.6487
17,1.5686
18,2.2192
19,1.2528
20,2.0015
21,2.2721
22,1.6292
23,1.5686
24,1.7405
25,2.3702
26,2.0149
27,1.2238
28,1.8871
29,2.5337
30,2.5257
31,2.3609
32,1.9741
33,1.2528
34,2.1518
35,2.0015
36,2.1163
37,2.7726
38,2.1633
39,2.2083
40,2.3514
41,1.9601
42,1.775
43,1.7405
44,2.4248
45,2.3026
46,1.8563
47,2.5953
48,2.1633
49,1.4816
50,2.3514
51,2.0149
52,1.4816
53,2.3125
54,1.9315
55,1.9021
56,2.3418
57,1.0986
58,1.5041
59,1.8871
60,2.1861
61,1.775
62,1.6292
63,1.6094
64,2.0281
65,2.3795
66,1.4351
67,1.1314
68,1.9459
69,1.9021
70,1.6677
71,2.3514
72,2.4423
73,1.8245
74,1.9315
75,2.3321
76,1.8871
77,1.4586
78,2.0541
79,1.6677
80,2.23
81,1.8563
82,1.9879
83,2.3125
84,2.0281
85,1.7918
86,1.6292
87,2.8565
88,2.5802
89,1.411
90,1.6094
91,2.3418
92,1.8083
93,2.0919
94,2.4423
95,2.1401
96,2.0149
97,1.8718
98,2.0412
99,2.2513
100,2.8622
101,2.5572
102,1.9879
103,2.4932
104,2.1282
105,1.411
106,2.0281
107,2.5257
108,1.8083
109,2.5014
110,1.9459
111,2.0919
112,1.5476
113,3.0106
114,2.2824
115,2.5337
116,1.8718
117,1.411
118,2.6247
119,1.7579
120,2.8214
121,2.0015
122,2.8094
123,1.7579
124,1.2809
125,2.3979
126,2.0541
127,2.0794
128,2.5494
129,1.6864
130,1.5041
131,1.5476
132,1.335
133,1.2528
134,1.5041
135,1.6487
136,1.8718
137,1.5261
138,2.0149
139,2.4069
140,1.9601
141,2.2513
142,1.6487
143,2.1861
144,2.2618
145,1.7579
146,1.361
147,1.9459
148,2.0281
149,2.6672
150,1.8405
151,2.7473
152,0.9555
153,1.8718
154,1.7918
155,1.8245
156,1.7579
157,1.9741
158,2.7279
159,1.9315
160,2.5257
161,1.9459
162,2.0412
163,0.9163
164,2.0281
165,2.2618
166,1.4816
167,1.7228
168,1.6094
169,2.9339
170,1.5476
171,1.6677
172,0.7885
173,1.2809
174,2.0794
175,1.411
176,0.7419
177,1.8563
178,2.0281
179,2.1041
180,2.1518
181,1.7047
182,3.2268
183,1.7405
184,2.1748
185,1.411
186,1.7047
187,1.3083
188,2.0794
189,1.8083
190,1.5476
191,1.0986
192,2.23
193,2.3514
194,2.3514
195,1.9459
196,2.2925
197,2.3888
198,2.2192
199,2.6319
200,1.9169
201,2.0919
