subgroup,x
1,0.102
1,0.095
1,0.096
1,0.077
1,0.117
2,0.111
2,0.097
2,0.107
2,0.103
2,0.095
3,0.109
3,0.097
3,0.097
3,0.092
3,0.104
4,0.099
4,0.105
4,0.094
4,0.101
4,0.092
5,0.108
5,0.102
5,0.103
5,0.104
5,0.09
6,0.107
6,0.12
6,0.084
6,0.084
6,0.086
7,0.108
7,0.101
7,0.11
7,0.107
7,0.102
8,0.103
8,0.098
8,0.108
8,0.089
8,0.096
9,0.102
9,0.117
9,0.093
9,0.09
9,0.095
10,0.109
10,0.098
10,0.113
10,0.082
10,0.111
11,0.11
11,0.087
11,0.101
11,0.112
11,0.101
12,0.109
12,0.123
12,0.103
12,0.097
12,0.093
13,0.106
13,0.098
13,0.098
13,0.099
13,0.106
14,0.09
14,0.085
14,0.077
14,0.111
14,0.101
15,0.114
15,0.1
15,0.093
15,0.105
15,0.099
16,0.088
16,0.092
16,0.117
16,0.103
16,0.104
17,0.097
17,0.093
17,0.108
17,0.099
17,0.093
18,0.099
18,0.091
18,0.102
18,0.111
18,0.092
19,0.114
19,0.094
19,0.101
19,0.092
19,0.098
20,0.1
20,0.096
20,0.093
20,0.094
20,0.092
21,0.085
21,0.098
21,0.104
21,0.109
21,0.106
22,0.123
22,0.103
22,0.096
22,0.118
22,0.09
23,0.109
23,0.091
23,0.103
23,0.081
23,0.109
24,0.098
24,0.091
24,0.116
24,0.107
24,0.1
25,0.093
25,0.1
25,0.098
25,0.107
25,0.108
