subgroup,x
1,0.115
1,0.104
1,0.106
1,0.077
1,0.138
2,0.129
2,0.107
2,0.123
2,0.116
2,0.104
3,0.126
3,0.107
3,0.107
3,0.101
3,0.119
4,0.111
4,0.12
4,0.103
4,0.114
4,0.099
5,0.124
5,0.115
5,0.117
5,0.118
5,0.097
6,0.123
6,0.142
6,0.088
6,0.087
6,0.09
7,0.124
7,0.114
7,0.128
7,0.122
7,0.115
8,0.116
8,0.11
8,0.125
8,0.096
8,0.106
9,0.116
9,0.138
9,0.101
9,0.096
9,0.104
10,0.126
10,0.109
10,0.131
10,0.085
10,0.128
11,0.127
11,0.091
11,0.114
11,0.13
11,0.113
12,0.126
12,0.146
12,0.116
12,0.108
12,0.101
13,0.121
13,0.109
13,0.109
13,0.11
13,0.121
14,0.097
14,0.09
14,0.077
14,0.129
14,0.113
15,0.134
15,0.112
15,0.101
15,0.119
15,0.111
16,0.094
16,0.099
16,0.138
16,0.117
16,0.118
17,0.108
17,0.102
17,0.125
17,0.11
17,0.101
18,0.11
18,0.099
18,0.115
18,0.128
18,0.1
19,0.133
19,0.102
19,0.114
19,0.1
19,0.109
20,0.113
20,0.106
20,0.102
20,0.102
20,0.1
21,0.089
21,0.108
21,0.118
21,0.125
21,0.121
22,0.148
22,0.117
22,0.105
22,0.139
22,0.097
23,0.126
23,0.098
23,0.117
23,0.083
23,0.125
24,0.11
24,0.098
24,0.136
24,0.123
24,0.113
25,0.101
25,0.111
25,0.11
25,0.123
25,0.124
