part,operator,trial,y
1,A,1,0.074
1,A,2,0.077
1,B,1,0.075
1,B,2,0.076
1,C,1,0.068
1,C,2,0.078
2,A,1,0.078
2,A,2,0.086
2,B,1,0.083
2,B,2,0.082
2,C,1,0.08
2,C,2,0.08
3,A,1,0.098
3,A,2,0.096
3,B,1,0.102
3,B,2,0.094
3,C,1,0.096
3,C,2,0.093
4,A,1,0.104
4,A,2,0.097
4,B,1,0.103
4,B,2,0.104
4,C,1,0.097
4,C,2,0.103
5,A,1,0.104
5,A,2,0.106
5,B,1,0.107
5,B,2,0.102
5,C,1,0.1
5,C,2,0.102
6,A,1,0.119
6,A,2,0.119
6,B,1,0.116
6,B,2,0.117
6,C,1,0.114
6,C,2,0.114
7,A,1,0.123
7,A,2,0.123
7,B,1,0.13
7,B,2,0.123
7,C,1,0.121
7,C,2,0.123
8,A,1,0.131
8,A,2,0.133
8,B,1,0.135
8,B,2,0.137
8,C,1,0.129
8,C,2,0.136
9,A,1,0.136
9,A,2,0.137
9,B,1,0.14
9,B,2,0.14
9,C,1,0.138
9,C,2,0.136
10,A,1,0.151
10,A,2,0.152
10,B,1,0.15
10,B,2,0.155
10,C,1,0.148
10,C,2,0.147
